"type.keyword: Descending",Timestamp,Attacks
Adbhoney,"2021-09-26 12:00",263
Adbhoney,"2021-09-27 00:00",284
Adbhoney,"2021-09-27 12:00",248
Adbhoney,"2021-09-28 00:00",243
Adbhoney,"2021-09-28 12:00",231
Adbhoney,"2021-09-29 00:00",262
Adbhoney,"2021-09-29 12:00",315
Adbhoney,"2021-09-30 00:00",224
Adbhoney,"2021-09-30 12:00",205
Adbhoney,"2021-10-01 00:00",255
Adbhoney,"2021-10-01 12:00",239
Adbhoney,"2021-10-02 00:00",310
Adbhoney,"2021-10-02 12:00",293
Adbhoney,"2021-10-03 00:00",298
Adbhoney,"2021-10-03 12:00",306
Adbhoney,"2021-10-04 00:00",260
Adbhoney,"2021-10-04 12:00",244
Adbhoney,"2021-10-05 00:00",264
Adbhoney,"2021-10-05 12:00",257
Adbhoney,"2021-10-06 00:00",275
Adbhoney,"2021-10-06 12:00",240
Adbhoney,"2021-10-07 00:00",208
Adbhoney,"2021-10-07 12:00",193
Adbhoney,"2021-10-08 00:00",214
Adbhoney,"2021-10-08 12:00",125
Adbhoney,"2021-10-09 00:00",68
Adbhoney,"2021-10-09 12:00",66
Adbhoney,"2021-10-10 00:00",196
Adbhoney,"2021-10-10 12:00",256
Adbhoney,"2021-10-11 00:00",259
Adbhoney,"2021-10-11 12:00",252
Adbhoney,"2021-10-12 00:00",239
Adbhoney,"2021-10-12 12:00",247
Adbhoney,"2021-10-13 00:00",200
Adbhoney,"2021-10-13 12:00",219
Adbhoney,"2021-10-14 00:00",243
Adbhoney,"2021-10-14 12:00",151
Adbhoney,"2021-10-15 00:00",236
Adbhoney,"2021-10-15 12:00",257
