Filter,Geohash,Count,"Geo Centroid"
,d9,129,"{
  ""lat"": 9.344466644512533,
  ""lon"": -65.66363723840304
}"
,sy,127,"{
  ""lat"": 34.50575667708438,
  ""lon"": 37.30201336943845
}"
,ey,126,"{
  ""lat"": 37.84898013674787,
  ""lon"": -4.066384167942617
}"
,d7,122,"{
  ""lat"": 18.655488504761006,
  ""lon"": -70.1965402033119
}"
,tg,121,"{
  ""lat"": 21.754797492445686,
  ""lon"": 82.10142885912056
}"
,st,115,"{
  ""lat"": 30.23242605809608,
  ""lon"": 31.177589509960104
}"
,75,113,"{
  ""lat"": -22.784953121409085,
  ""lon"": -43.22302482783201
}"
,f2,110,"{
  ""lat"": 45.8431517961435,
  ""lon"": -73.63920367204331
}"
,6u,93,"{
  ""lat"": -21.06730217489624,
  ""lon"": -47.554801112461476
}"
,6r,88,"{
  ""lat"": -1.444722746012055,
  ""lon"": -78.02370801208203
}"
,wz,86,"{
  ""lat"": 43.63252092049955,
  ""lon"": 126.78942318366798
}"
,7n,84,"{
  ""lat"": -7.123784544112693,
  ""lon"": -36.37946549004742
}"
,r3,82,"{
  ""lat"": -33.85936344178712,
  ""lon"": 151.1571633779421
}"
,dh,75,"{
  ""lat"": 27.11691464111209,
  ""lon"": -81.62579069361091
}"
,ts,67,"{
  ""lat"": 24.960970128121883,
  ""lon"": 75.1339029556891
}"
,69,63,"{
  ""lat"": -34.69846509929214,
  ""lon"": -58.61203019374183
}"
,mp,62,"{
  ""lat"": -4.662720985680578,
  ""lon"": 55.57008545515278
}"
,y3,60,"{
  ""lat"": 54.00261663319543,
  ""lon"": 103.28157831123099
}"
,6p,60,"{
  ""lat"": -2.4686966920271516,
  ""lon"": -79.86569668818265
}"
,6f,58,"{
  ""lat"": -29.720672440458216,
  ""lon"": -50.98668624935993
}"
,th,55,"{
  ""lat"": 25.921056328341365,
  ""lon"": 50.85667634772306
}"
,ke,53,"{
  ""lat"": -26.184069829518503,
  ""lon"": 28.115545244852328
}"
,w8,52,"{
  ""lat"": 2.9309384517658215,
  ""lon"": 115.7952922469793
}"
,d2,52,"{
  ""lat"": 4.57617498602933,
  ""lon"": -75.005280830575
}"
,tf,46,"{
  ""lat"": 13.385156516957542,
  ""lon"": 80.31050866915156
}"
,9z,45,"{
  ""lat"": 42.60227997787297,
  ""lon"": -94.96301780827343
}"
,wr,40,"{
  ""lat"": 40.66011999710463,
  ""lon"": 109.91369995241985
}"
,qw,40,"{
  ""lat"": -7.656515020527877,
  ""lon"": 112.81413245131262
}"
,kx,39,"{
  ""lat"": -3.1921948922368197,
  ""lon"": 29.927369162726862
}"
,6c,39,"{
  ""lat"": -34.85760002397001,
  ""lon"": -56.17020000703633
}"
,7j,38,"{
  ""lat"": -13.94301581698911,
  ""lon"": -39.55770003682885
}"
,f8,36,"{
  ""lat"": 45.600033309310675,
  ""lon"": -62.98575005494058
}"
,wv,35,"{
  ""lat"": 33.261862836778164,
  ""lon"": 128.70597139905607
}"
,6d,33,"{
  ""lat"": -31.61470609420741,
  ""lon"": -63.345424268733375
}"
,v6,31,"{
  ""lat"": 57.15909029717647,
  ""lon"": 61.28696123708881
}"
,sn,31,"{
  ""lat"": 34.50192256379993,
  ""lon"": 9.116548348158117
}"
,4q,31,"{
  ""lat"": -53.7833000253886,
  ""lon"": -67.70000000484288
}"
,dx,30,"{
  ""lat"": 44.4239599769935,
  ""lon"": -64.37416670098901
}"
,kd,29,"{
  ""lat"": -29.000000031664968,
  ""lon"": 23.999999994412065
}"
,k3,29,"{
  ""lat"": -33.917141390868046,
  ""lon"": 18.416217167958102
}"
,s1,28,"{
  ""lat"": 7.317692843166047,
  ""lon"": 4.337367810907641
}"
,f0,28,"{
  ""lat"": 46.716814261661575,
  ""lon"": -81.0230500277664
}"
,sq,27,"{
  ""lat"": 37.864103694446385,
  ""lon"": 16.986848112816613
}"
,w4,26,"{
  ""lat"": 13.813380749824528,
  ""lon"": 100.45545377876036
}"
,w1,25,"{
  ""lat"": 7.740955982543528,
  ""lon"": 99.56141197867692
}"
,6s,25,"{
  ""lat"": -17.06401603203267,
  ""lon"": -64.85324806161225
}"
,c3,24,"{
  ""lat"": 53.128916644491255,
  ""lon"": -113.59845004510134
}"
,9s,24,"{
  ""lat"": 24.685158329084516,
  ""lon"": -110.71651672013104
}"
,yb,23,"{
  ""lat"": 45.74999999720603,
  ""lon"": 126.64999994449317
}"
,u4,23,"{
  ""lat"": 59.908313025801405,
  ""lon"": 10.741730382180084
}"
,6v,23,"{
  ""lat"": -16.417773936713196,
  ""lon"": -48.9563304870187
}"
,s2,22,"{
  ""lat"": 3.8660999899730086,
  ""lon"": 11.515399971976876
}"
,9m,22,"{
  ""lat"": 33.4648818065497,
  ""lon"": -117.26735459217294
}"
,63,22,"{
  ""lat"": -36.43420910081741,
  ""lon"": -72.46570912655443
}"
